 Type,BHK,Area,LocalityScore,Sqft,Age,SwimmingPool,Lift,JoggingTrack,IndoorGames,Gym,ClubHouse,ChildrenPlayArea,CarParking,ATM,Sports,MultipurposeRoom,Furniture,Price
Apartment,2,Chandkheda,9.9,1314,0,0,1,1,1,1,1,1,0,0,0,0,Unfurnished,4672584
Apartment,3,Chandkheda,9.9,1602,0,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4272534
Villa,2,Chandkheda,9.9,1710,-1,1,0,0,0,1,1,1,0,0,1,0,Unfurnished,8000000
Apartment,4,Chandkheda,9.9,3030,0,1,1,1,0,1,1,1,0,0,1,0,Unfurnished,11400000
Apartment,3,Chandkheda,9.9,1332,1,0,1,0,0,0,0,1,0,0,0,0,Semi-Furnished,4200000
Apartment,3,Chandkheda,9.9,1683,5,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,6800000
Apartment,2,Chandkheda,9.9,1935,4,1,1,1,1,1,1,1,1,0,1,0,Unfurnished,6772000
Independent Floor,3,Chandkheda,9.9,1710,3,0,1,1,0,1,1,1,1,1,0,0,Unfurnished,6600000
Apartment,3,Chandkheda,9.9,1566,-1,0,1,1,1,1,1,1,1,0,0,0,Unfurnished,6200000
Apartment,2,Chandkheda,9.9,950,9,0,1,1,0,0,0,0,1,1,0,0,Unfurnished,2200000
Apartment,2,Chandkheda,9.9,1170,2,1,1,1,1,1,1,1,1,1,1,1,Furnished,5000000
Apartment,2,Chandkheda,9.9,1179,1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,4000000
Apartment,2,Chandkheda,9.9,1300,5,0,1,1,0,1,0,1,1,0,0,0,Semi-Furnished,4200000
Apartment,3,Chandkheda,9.9,1432,1,0,1,0,1,1,1,1,1,0,0,0,Unfurnished,4600000
Apartment,3,Chandkheda,9.9,1935,1,1,0,1,1,1,0,1,1,0,0,1,Unfurnished,6800000
Apartment,3,Chandkheda,9.9,1935,1,1,0,1,1,1,0,1,1,0,0,1,Unfurnished,6000000
Apartment,2,Chandkheda,9.9,1134,4,0,1,0,0,1,1,1,1,0,1,1,Semi-Furnished,3800000
Independent House,3,Chandkheda,9.9,2000,6,0,0,0,0,0,0,0,1,1,0,0,Semi-Furnished,7700000
Villa,3,Chandkheda,9.9,3204,-1,0,0,0,0,0,1,1,1,0,0,0,Unfurnished,25000000
Apartment,2,Chandkheda,9.9,1116,2,0,1,1,0,1,0,1,1,1,0,0,Furnished,5000000
Apartment,3,Chandkheda,9.9,1935,1,1,0,1,1,1,0,1,1,0,0,1,Unfurnished,7200000
Apartment,3,Chandkheda,9.9,1998,2,1,1,0,0,0,1,1,1,0,1,0,Unfurnished,6993000
Apartment,3,Chandkheda,9.9,1548,1,0,1,1,1,1,1,1,1,0,0,0,Unfurnished,6100000
